iter	RMSE
0	3113.055277
1	2892.276502
2	2709.600967
3	2557.775295
4	2435.126804
5	2334.550198
6	2253.84337
7	2187.949864
8	2135.619367
9	2094.232043
10	2061.568538
11	2034.793352
12	2013.948735
13	1997.548487
14	1984.431651
15	1974.130629
16	1965.416784
17	1958.669302
18	1953.256326
19	1947.397467
20	1943.46145
21	1940.211888
22	1937.17304
23	1934.901152
24	1932.810678
25	1930.629259
26	1928.653823
27	1925.630418
28	1923.237582
29	1921.067976
30	1919.548599
31	1917.011371
32	1915.713452
33	1913.570327
34	1912.378754
35	1911.03901
36	1909.658587
37	1908.23466
38	1907.488337
39	1906.640075
40	1905.541781
41	1904.445223
42	1903.645519
43	1902.424829
44	1901.319971
45	1900.589003
46	1899.252341
47	1897.426328
48	1896.39621
49	1895.443215
50	1893.506777
51	1892.941907
52	1892.256386
53	1891.106842
54	1890.354675
55	1889.637293
56	1889.141215
57	1888.298393
58	1886.607598
59	1885.126605
60	1884.104995
61	1883.694012
62	1883.059483
63	1881.32221
64	1880.837646
65	1880.289109
66	1879.567809
67	1878.799852
68	1878.127336
69	1876.61601
70	1875.935401
71	1875.259372
72	1874.221577
73	1873.79709
74	1872.632475
75	1872.17755
76	1871.683908
77	1871.068858
78	1870.081781
79	1869.137599
80	1868.463716
81	1867.382478
82	1866.9658
83	1866.57251
84	1866.236485
85	1864.847994
86	1864.24448
87	1863.909177
88	1863.291626
89	1862.714891
90	1862.243453
91	1861.806228
92	1860.48668
93	1859.475933
94	1858.588921
95	1857.955459
96	1857.53052
97	1856.454572
98	1855.96654
99	1854.521459
100	1853.627473
101	1853.293648
102	1853.002307
103	1851.95776
104	1851.563258
105	1850.63812
106	1850.211022
107	1849.097853
108	1848.363752
109	1847.726868
110	1847.339124
111	1846.01091
112	1845.574322
113	1845.02657
114	1844.359083
115	1843.226524
116	1842.984666
117	1842.381336
118	1842.018871
119	1841.103293
120	1839.96113
121	1839.302533
122	1839.06867
123	1838.035226
124	1837.561606
125	1836.677519
126	1836.503917
127	1835.704852
128	1835.050741
129	1834.552284
130	1834.217626
131	1834.029373
132	1833.791999
133	1833.501328
134	1833.085497
135	1832.575147
136	1832.105565
137	1830.97316
138	1829.163039
139	1828.617322
140	1828.353077
141	1827.977296
142	1827.652966
143	1826.76784
144	1826.583264
145	1826.357217
146	1825.613479
147	1825.100104
148	1824.449907
149	1823.691038
150	1823.032006
151	1822.558572
152	1822.178084
153	1821.771863
154	1821.462436
155	1820.516311
156	1819.871281
157	1819.572091
158	1819.197146
159	1818.93151
160	1818.253769
161	1817.854785
162	1817.386429
163	1817.25134
164	1816.84394
165	1816.626213
166	1815.773228
167	1815.26088
168	1814.937333
169	1814.676618
170	1814.353662
171	1813.989025
172	1813.611694
173	1812.911353
174	1812.583562
175	1811.968874
176	1811.440934
177	1810.894157
178	1810.604159
179	1810.152542
180	1809.6757
181	1809.370505
182	1809.158893
183	1808.848999
184	1807.644447
185	1807.357679
186	1806.954148
187	1806.173295
188	1805.989629
189	1805.880791
190	1805.571341
191	1805.450659
192	1805.229747
193	1805.003904
194	1804.590918
195	1804.329364
196	1804.165879
197	1803.83164
198	1803.610426
199	1803.181856
200	1802.85832
201	1802.7479
202	1802.454077
203	1802.238244
204	1802.05634
205	1801.338548
206	1801.246417
207	1800.987894
208	1800.807325
209	1800.426285
210	1799.946598
211	1799.521971
212	1799.303372
213	1799.181339
214	1798.895134
215	1798.659606
216	1798.067025
217	1796.86918
218	1796.131751
219	1795.773324
220	1795.59845
221	1795.352428
222	1795.197537
223	1794.916066
224	1794.585776
225	1794.160142
226	1793.792731
227	1793.721778
228	1793.286742
229	1792.980347
230	1792.756004
231	1792.54472
232	1792.076534
233	1791.443085
234	1791.359758
235	1790.822561
236	1790.47451
237	1790.142217
238	1789.874263
239	1789.557997
240	1789.348449
241	1789.204973
242	1788.730134
243	1788.397539
244	1788.23029
245	1788.063666
246	1787.946082
247	1787.615567
248	1787.320761
249	1787.07985
250	1786.808701
251	1786.559321
252	1786.449636
253	1786.200965
254	1785.945672
255	1785.470186
256	1784.535788
257	1784.448471
258	1784.32731
259	1784.167294
260	1783.901211
261	1783.60079
262	1783.20216
263	1783.040069
264	1782.878793
265	1782.687579
266	1782.578311
267	1782.289314
268	1782.079118
269	1781.838415
270	1780.975426
271	1780.843644
272	1780.63785
273	1780.328873
274	1780.067533
275	1779.321793
276	1779.122885
277	1778.787468
278	1778.629986
279	1778.380799
280	1778.322165
281	1778.229787
282	1777.830475
283	1777.273206
284	1777.063688
285	1776.874143
286	1776.761044
287	1776.11601
288	1775.326007
289	1775.142477
290	1774.69233
291	1774.372902
292	1774.199611
293	1773.88419
294	1773.250454
295	1773.150673
296	1772.871297
297	1772.787275
298	1772.339661
299	1772.185191
300	1772.041721
301	1771.967615
302	1771.802568
303	1771.671671
304	1771.497094
305	1771.239721
306	1771.083088
307	1771.022234
308	1770.585609
309	1770.17869
310	1769.742809
311	1769.507469
312	1769.28466
313	1768.941297
314	1768.688589
315	1768.439716
316	1768.06083
317	1767.928124
318	1767.732541
319	1767.638859
320	1767.372719
321	1767.180841
322	1767.020878
323	1766.952638
324	1766.808839
325	1766.641585
326	1766.211693
327	1766.081065
328	1765.838135
329	1765.690163
330	1765.399644
331	1765.314584
332	1765.060178
333	1764.914956
334	1764.633354
335	1764.522051
336	1764.401145
337	1764.168033
338	1763.704096
339	1763.481886
340	1763.126306
341	1762.645467
342	1762.429469
343	1762.279128
344	1762.166991
345	1762.034381
346	1761.892505
347	1761.839319
348	1761.654041
349	1761.611673
350	1761.210919
351	1760.943256
352	1760.803995
353	1760.570766
354	1760.464203
355	1760.169779
356	1759.965376
357	1759.732392
358	1759.516649
359	1759.351075
360	1759.248268
361	1759.170841
362	1758.88928
363	1758.732517
364	1758.634178
365	1758.476992
366	1758.365254
367	1758.134883
368	1758.021644
369	1757.608778
370	1757.308992
371	1757.123928
372	1756.952961
373	1756.455873
374	1756.254887
375	1756.117322
376	1756.023326
377	1755.868476
378	1755.727713
379	1755.61257
380	1755.565265
381	1755.491503
382	1755.241511
383	1755.062791
384	1754.679601
385	1754.56093
386	1754.484537
387	1754.381679
388	1754.311531
389	1754.203036
390	1754.066104
391	1753.943729
392	1753.90489
393	1753.7531
394	1753.6471
395	1753.501028
396	1753.242502
397	1753.129096
398	1753.068911
399	1752.875688
400	1752.677983
401	1752.58179
402	1752.258974
403	1752.096887
404	1751.869014
405	1751.78118
406	1751.725405
407	1751.679812
408	1751.434353
409	1751.211723
410	1750.951662
411	1750.748282
412	1750.484768
413	1750.355414
414	1750.154494
415	1749.876912
416	1749.807461
417	1749.656293
418	1749.588911
419	1749.455497
420	1749.386214
421	1749.273508
422	1749.170066
423	1749.016087
424	1748.912991
425	1748.809939
426	1748.656411
427	1748.563555
428	1748.4781
429	1748.396624
430	1748.319236
431	1748.272248
432	1748.146003
433	1747.960607
434	1747.870488
435	1747.601273
436	1747.565334
437	1747.297225
438	1747.250377
439	1747.060386
440	1746.920071
441	1746.823545
442	1746.693849
443	1746.58212
444	1746.404784
445	1746.190236
446	1746.116133
447	1746.021926
448	1745.769899
449	1745.637714
450	1745.564122
451	1745.358851
452	1745.298815
453	1745.103559
454	1744.96979
455	1744.890681
456	1744.756032
457	1744.588364
458	1744.409455
459	1744.241936
460	1744.0947
461	1743.998288
462	1743.935408
463	1743.814115
464	1743.733463
465	1743.589151
466	1743.440842
467	1743.300471
468	1743.247148
469	1743.137174
470	1743.062871
471	1743.002904
472	1742.883373
473	1742.804287
474	1742.686772
475	1742.548214
476	1742.474093
477	1742.439746
478	1742.394354
479	1742.337622
480	1742.306813
481	1742.21778
482	1742.16077
483	1742.096301
484	1742.008761
485	1741.829539
486	1741.637295
487	1741.595597
488	1741.441468
489	1741.39744
490	1741.071533
491	1740.877258
492	1740.613627
493	1740.57005
494	1740.502967
495	1740.388191
496	1740.183506
497	1740.086542
498	1740.046292
499	1740.016001
500	1739.951079
501	1739.891961
502	1739.623852
503	1739.382139
504	1739.240078
505	1739.077458
506	1738.997746
507	1738.938416
508	1738.745183
509	1738.631386
510	1738.557202
511	1738.503592
512	1738.419486
513	1738.37882
514	1738.294888
515	1738.217171
516	1738.119518
517	1738.088029
518	1737.983369
519	1737.833532
520	1737.784348
521	1737.748944
522	1737.669029
523	1737.605183
524	1737.573957
525	1737.515676
526	1737.446574
527	1737.303151
528	1737.250161
529	1737.08147
530	1736.868813
531	1736.77501
532	1736.742863
533	1736.644386
534	1736.535771
535	1736.428881
536	1736.379104
537	1736.303037
538	1736.188877
539	1736.055955
540	1735.895215
541	1735.834899
542	1735.756509
543	1735.578156
544	1735.519939
545	1735.432185
546	1735.316118
547	1735.245275
548	1735.178991
549	1735.116693
550	1735.043606
551	1734.933
552	1734.728946
553	1734.560778
554	1734.393323
555	1734.269213
556	1734.154277
557	1734.010574
558	1733.896991
559	1733.866147
560	1733.82102
561	1733.657581
562	1733.521612
563	1733.402415
564	1733.304173
565	1733.203906
566	1733.059865
567	1732.966678
568	1732.781445
569	1732.595002
570	1732.46706
571	1732.366181
572	1732.317702
573	1732.253739
574	1732.171372
575	1732.086293
576	1731.946219
577	1731.88567
578	1731.784236
579	1731.731474
580	1731.629688
581	1731.538421
582	1731.403261
583	1731.315658
584	1731.259579
585	1731.179202
586	1731.089883
587	1730.97227
588	1730.9274
589	1730.818832
590	1730.667627
591	1730.603659
592	1730.566794
593	1730.527963
594	1730.480413
595	1730.458427
596	1730.394238
597	1730.369892
598	1730.294698
599	1730.218846
600	1730.089415
601	1730.013195
602	1729.944447
603	1729.904671
604	1729.810393
605	1729.743726
606	1729.68322
607	1729.582898
608	1729.523614
609	1729.457008
610	1729.352218
611	1729.242068
612	1729.118853
613	1729.043658
614	1728.915915
615	1728.855267
616	1728.795256
617	1728.744249
618	1728.681875
619	1728.643691
620	1728.545818
621	1728.525085
622	1728.484935
623	1728.461948
624	1728.410481
625	1728.342025
626	1728.290643
627	1728.228473
628	1728.163783
629	1728.092562
630	1727.90121
631	1727.774744
632	1727.650903
633	1727.508747
634	1727.450492
635	1727.324264
636	1727.281045
637	1727.169344
638	1727.063167
639	1727.020316
640	1726.897408
641	1726.854456
642	1726.757594
643	1726.6853
644	1726.604863
645	1726.539067
646	1726.460292
647	1726.388225
648	1726.329544
649	1726.296382
650	1726.253243
651	1726.216989
652	1726.074784
653	1725.989584
654	1725.923903
655	1725.840921
656	1725.742244
657	1725.688452
658	1725.606383
659	1725.569029
660	1725.511215
661	1725.394747
662	1725.288162
663	1725.183685
664	1725.110076
665	1725.034713
666	1725.009405
667	1724.956427
668	1724.893181
669	1724.863131
670	1724.81914
671	1724.773013
672	1724.674936
673	1724.56015
674	1724.530462
675	1724.500264
676	1724.431812
677	1724.357185
678	1724.240424
679	1724.179556
680	1724.123047
681	1724.072602
682	1724.043338
683	1723.997918
684	1723.957303
685	1723.906543
686	1723.85415
687	1723.767148
688	1723.707973
689	1723.681583
690	1723.634087
691	1723.584161
692	1723.49529
693	1723.437442
694	1723.422928
695	1723.297535
696	1723.22516
697	1723.163404
698	1723.060509
699	1723.002041
700	1722.930425
701	1722.878837
702	1722.833402
703	1722.809039
704	1722.736639
705	1722.688676
706	1722.656332
707	1722.609586
708	1722.529902
709	1722.453281
710	1722.386996
711	1722.263191
712	1722.186679
713	1722.112474
714	1722.034637
715	1721.983644
716	1721.936023
717	1721.878438
718	1721.840814
719	1721.73472
720	1721.689195
721	1721.580861
722	1721.514755
723	1721.470417
724	1721.341
725	1721.297468
726	1721.241941
727	1721.186832
728	1721.155115
729	1721.106281
730	1721.058467
731	1720.92838
732	1720.834472
733	1720.789953
734	1720.744824
735	1720.730442
736	1720.692483
737	1720.622105
738	1720.564735
739	1720.490823
740	1720.436419
741	1720.391566
742	1720.305622
743	1720.230661
744	1720.189014
745	1720.089666
746	1720.001169
747	1719.932028
748	1719.896263
749	1719.850653
750	1719.823023
751	1719.784363
752	1719.720582
753	1719.634489
754	1719.591422
755	1719.530428
756	1719.455523
757	1719.412955
758	1719.321691
759	1719.226932
760	1719.139781
761	1719.066094
762	1719.012677
763	1718.919151
764	1718.874586
765	1718.842863
766	1718.758221
767	1718.731726
768	1718.689936
769	1718.664532
770	1718.61358
771	1718.56436
772	1718.527337
773	1718.461671
774	1718.366032
775	1718.343473
776	1718.277358
777	1718.210622
778	1718.14682
779	1718.082994
780	1718.031347
781	1717.984726
782	1717.917073
783	1717.860047
784	1717.801203
785	1717.748411
786	1717.690598
787	1717.662188
788	1717.605057
789	1717.568304
790	1717.543564
791	1717.523573
792	1717.483934
793	1717.395178
794	1717.327036
795	1717.278676
796	1717.233585
797	1717.195322
798	1717.179722
799	1717.113009
800	1717.019481
801	1716.997603
802	1716.939667
803	1716.923481
804	1716.884895
805	1716.848784
806	1716.81936
807	1716.752858
808	1716.699915
809	1716.680116
810	1716.63686
811	1716.587306
812	1716.540664
813	1716.500456
814	1716.435301
815	1716.395877
816	1716.358855
817	1716.282942
818	1716.243624
819	1716.211413
820	1716.132809
821	1716.079056
822	1716.038975
823	1716.019356
824	1715.95051
825	1715.918872
826	1715.882101
827	1715.808156
828	1715.772417
829	1715.756455
830	1715.729955
831	1715.660066
832	1715.590347
833	1715.565245
834	1715.540747
835	1715.452697
836	1715.387046
837	1715.355239
838	1715.278177
839	1715.24804
840	1715.221082
841	1715.206846
842	1715.175904
843	1715.155658
844	1715.135679
845	1715.072855
846	1715.021587
847	1714.960718
848	1714.904927
849	1714.879625
850	1714.818102
851	1714.775986
852	1714.70354
853	1714.655263
854	1714.618656
855	1714.591532
856	1714.551103
857	1714.460544
858	1714.37128
859	1714.302871
860	1714.238415
861	1714.205656
862	1714.157302
863	1714.10625
864	1714.048135
865	1713.939137
866	1713.912306
867	1713.873974
868	1713.847903
869	1713.791232
870	1713.759973
871	1713.728762
872	1713.704208
873	1713.660875
874	1713.630108
875	1713.569472
876	1713.500646
877	1713.46226
878	1713.374847
879	1713.29847
880	1713.253084
881	1713.220274
882	1713.149595
883	1713.118101
884	1713.092584
885	1713.042569
886	1713.015285
887	1712.960908
888	1712.949877
889	1712.917253
890	1712.885843
891	1712.858212
892	1712.836915
893	1712.770806
894	1712.736405
895	1712.682636
896	1712.64267
897	1712.564274
898	1712.5241
899	1712.476314
900	1712.426376
901	1712.373138
902	1712.333106
903	1712.287941
904	1712.249117
905	1712.217854
906	1712.130041
907	1712.101791
908	1712.054931
909	1712.012264
910	1711.968336
911	1711.952417
912	1711.92433
913	1711.88451
914	1711.848284
915	1711.795126
916	1711.767564
917	1711.739105
918	1711.70168
919	1711.64124
920	1711.54155
921	1711.524352
922	1711.499577
923	1711.443235
924	1711.420919
925	1711.365356
926	1711.300698
927	1711.260586
928	1711.219804
929	1711.198262
930	1711.169369
931	1711.130684
932	1711.112499
933	1711.093499
934	1711.031064
935	1710.983204
936	1710.914366
937	1710.850837
938	1710.834348
939	1710.79514
940	1710.775617
941	1710.762358
942	1710.710336
943	1710.629744
944	1710.581518
945	1710.527533
946	1710.498936
947	1710.458437
948	1710.419693
949	1710.358543
950	1710.325161
951	1710.283998
952	1710.251732
953	1710.20669
954	1710.191002
955	1710.169909
956	1710.1399
957	1710.074218
958	1710.043782
959	1710.015653
960	1709.987629
961	1709.959343
962	1709.940368
963	1709.88237
964	1709.853708
965	1709.838461
966	1709.762149
967	1709.711399
968	1709.625321
969	1709.606728
970	1709.593846
971	1709.550401
972	1709.532129
973	1709.474869
974	1709.417832
975	1709.394735
976	1709.352323
977	1709.318248
978	1709.265602
979	1709.196586
980	1709.167493
981	1709.151017
982	1709.091888
983	1709.009775
984	1708.968285
985	1708.944697
986	1708.916464
987	1708.870469
988	1708.838026
989	1708.813996
990	1708.786027
991	1708.761483
992	1708.747493
993	1708.701685
994	1708.66925
995	1708.6438
996	1708.590307
997	1708.536376
998	1708.500801
999	1708.460085
