iter	Passed	Remaining
0	134	134249
1	279	139663
2	411	136636
3	550	137023
4	708	140952
5	840	139182
6	978	138737
7	1103	136866
8	1230	135508
9	1356	134266
10	1495	134416
11	1629	134134
12	1761	133746
13	1888	132973
14	2017	132458
15	2158	132730
16	2294	132669
17	2414	131724
18	2538	131064
19	2683	131470
20	2809	130984
21	2932	130381
22	3059	129963
23	3192	129823
24	3312	129187
25	3426	128344
26	3565	128485
27	3707	128708
28	3861	129305
29	4081	131982
30	4294	134250
31	4432	134092
32	4561	133665
33	4717	134045
34	4857	133935
35	4980	133362
36	5117	133194
37	5250	132912
38	5372	132388
39	5488	131731
40	5639	131910
41	5752	131213
42	5875	130774
43	6000	130375
44	6129	130073
45	6267	129975
46	6418	130139
47	6567	130265
48	6685	129744
49	6811	129409
50	6975	129794
51	7088	129220
52	7210	128837
53	7350	128763
54	7462	128223
55	7591	127978
56	7708	127529
57	7829	127169
58	7983	127323
59	8122	127257
60	8261	127167
61	8384	126843
62	8502	126455
63	8658	126632
64	8781	126316
65	8910	126094
66	9043	125940
67	9172	125710
68	9296	125433
69	9441	125433
70	9563	125131
71	9681	124786
72	9835	124897
73	9946	124466
74	10094	124499
75	10214	124181
76	10352	124099
77	10498	124101
78	10641	124066
79	10788	124065
80	10930	124018
81	11063	123860
82	11187	123598
83	11318	123425
84	11450	123257
85	11600	123293
86	11745	123255
87	11876	123081
88	12002	122852
89	12120	122556
90	12244	122311
91	12363	122019
92	12509	121998
93	12650	121933
94	12786	121805
95	12928	121747
96	13046	121450
97	13198	121477
98	13337	121382
99	13494	121446
100	13622	121254
101	13742	120989
102	13854	120659
103	14019	120779
104	14139	120523
105	14295	120569
106	14417	120326
107	14569	120336
108	14724	120365
109	14854	120185
110	14987	120038
111	15122	119899
112	15280	119945
113	15403	119718
114	15550	119671
115	15692	119585
116	15802	119258
117	15932	119090
118	16063	118921
119	16199	118798
120	16356	118823
121	16499	118742
122	16617	118484
123	16750	118333
124	16877	118141
125	17030	118131
126	17153	117912
127	17304	117886
128	17457	117871
129	17582	117666
130	17718	117539
131	17834	117274
132	17950	117013
133	18069	116774
134	18199	116610
135	18329	116447
136	18470	116352
137	18637	116417
138	18782	116340
139	18940	116347
140	19073	116197
141	19212	116085
142	19331	115855
143	19474	115764
144	19590	115516
145	19708	115278
146	19859	115236
147	20001	115146
148	20151	115092
149	20335	115235
150	20483	115168
151	20655	115234
152	20798	115139
153	20942	115046
154	21084	114944
155	21257	115008
156	21429	115066
157	21617	115203
158	21767	115136
159	21906	115011
160	22046	114887
161	22189	114781
162	22332	114678
163	22467	114531
164	22674	114744
165	22805	114576
166	22971	114581
167	23112	114463
168	23247	114313
169	23373	114118
170	23508	113967
171	23655	113877
172	23809	113816
173	23956	113725
174	24103	113629
175	24253	113551
176	24390	113406
177	24521	113239
178	24642	113025
179	24779	112885
180	24936	112833
181	25085	112744
182	25210	112551
183	25338	112370
184	25487	112283
185	25629	112163
186	25772	112050
187	25940	112039
188	26057	111813
189	26169	111562
190	26294	111373
191	26419	111181
192	26543	110987
193	26667	110793
194	26792	110606
195	26921	110434
196	27047	110248
197	27194	110152
198	27323	109980
199	27459	109838
200	27593	109687
201	27714	109487
202	27836	109290
203	27963	109114
204	28092	108943
205	28255	108909
206	28377	108711
207	28520	108598
208	28639	108390
209	28781	108271
210	28927	108168
211	29051	107984
212	29178	107808
213	29311	107658
214	29462	107573
215	29587	107392
216	29749	107343
217	29897	107246
218	30051	107171
219	30194	107052
220	30322	106884
221	30445	106695
222	30564	106494
223	30698	106348
224	30848	106257
225	31012	106211
226	31145	106060
227	31269	105877
228	31404	105733
229	31551	105627
230	31672	105438
231	31814	105317
232	31965	105225
233	32130	105179
234	32248	104980
235	32413	104931
236	32555	104809
237	32703	104706
238	32845	104582
239	32982	104444
240	33112	104283
241	33237	104106
242	33366	103944
243	33516	103844
244	33633	103646
245	33760	103478
246	33880	103287
247	34047	103241
248	34172	103066
249	34303	102911
250	34427	102732
251	34564	102595
252	34677	102386
253	34803	102219
254	34961	102142
255	35117	102060
256	35264	101952
257	35380	101754
258	35509	101593
259	35632	101415
260	35770	101282
261	35924	101192
262	36087	101127
263	36214	100961
264	36346	100811
265	36471	100638
266	36590	100453
267	36748	100372
268	36869	100191
269	37004	100048
270	37150	99937
271	37272	99759
272	37396	99588
273	37559	99518
274	37698	99386
275	37832	99240
276	37959	99079
277	38093	98932
278	38220	98771
279	38355	98627
280	38467	98428
281	38587	98247
282	38749	98174
283	38895	98060
284	39023	97901
285	39156	97754
286	39280	97585
287	39429	97478
288	39582	97380
289	39725	97258
290	39876	97155
291	40022	97041
292	40159	96904
293	40312	96804
294	40466	96707
295	40594	96547
296	40743	96439
297	40864	96264
298	41015	96159
299	41143	96001
300	41269	95839
301	41397	95679
302	41527	95526
303	41653	95364
304	41775	95193
305	41903	95035
306	42020	94854
307	42136	94670
308	42294	94580
309	42441	94466
310	42588	94351
311	42733	94231
312	42912	94189
313	43063	94081
314	43216	93979
315	43350	93835
316	43513	93752
317	43640	93592
318	43769	93439
319	43902	93293
320	44034	93144
321	44170	93004
322	44296	92844
323	44410	92659
324	44537	92500
325	44674	92363
326	44814	92232
327	44952	92097
328	45091	91963
329	45232	91835
330	45399	91760
331	45532	91614
332	45673	91483
333	45814	91354
334	45941	91197
335	46080	91063
336	46206	90905
337	46342	90764
338	46485	90640
339	46625	90507
340	46768	90382
341	46923	90278
342	47070	90161
343	47199	90008
344	47327	89853
345	47457	89702
346	47586	89549
347	47708	89384
348	47841	89239
349	47952	89054
350	48093	88924
351	48240	88807
352	48376	88667
353	48511	88527
354	48647	88387
355	48805	88288
356	48954	88173
357	49115	88078
358	49265	87964
359	49409	87838
360	49540	87690
361	49661	87525
362	49803	87396
363	49949	87274
364	50086	87136
365	50228	87007
366	50359	86859
367	50509	86745
368	50636	86590
369	50776	86456
370	50919	86330
371	51047	86176
372	51172	86019
373	51322	85902
374	51460	85768
375	51586	85611
376	51705	85444
377	51837	85299
378	51965	85147
379	52084	84980
380	52209	84823
381	52340	84676
382	52496	84570
383	52657	84470
384	52798	84340
385	52923	84184
386	53039	84012
387	53176	83876
388	53290	83703
389	53414	83545
390	53552	83410
391	53674	83249
392	53797	83092
393	53929	82947
394	54055	82793
395	54181	82640
396	54321	82508
397	54440	82344
398	54562	82185
399	54707	82061
400	54854	81940
401	54975	81779
402	55133	81674
403	55275	81544
404	55428	81431
405	55560	81287
406	55686	81135
407	55795	80957
408	55934	80825
409	56078	80698
410	56228	80580
411	56374	80457
412	56513	80323
413	56644	80177
414	56772	80029
415	56932	79924
416	57057	79771
417	57197	79638
418	57316	79476
419	57445	79328
420	57574	79182
421	57735	79078
422	57859	78923
423	57989	78777
424	58112	78622
425	58237	78470
426	58389	78354
427	58518	78206
428	58623	78028
429	58740	77864
430	58872	77722
431	58990	77561
432	59119	77414
433	59260	77284
434	59381	77127
435	59535	77013
436	59647	76845
437	59790	76717
438	59929	76583
439	60067	76449
440	60203	76312
441	60337	76173
442	60496	76064
443	60625	75917
444	60780	75805
445	60920	75671
446	61044	75520
447	61176	75377
448	61333	75266
449	61486	75150
450	61607	74994
451	61737	74850
452	61860	74696
453	62021	74590
454	62156	74450
455	62289	74309
456	62442	74193
457	62572	74048
458	62719	73923
459	62860	73792
460	63013	73674
461	63164	73555
462	63283	73398
463	63433	73276
464	63552	73119
465	63694	72988
466	63838	72860
467	63985	72735
468	64107	72581
469	64235	72436
470	64356	72281
471	64481	72132
472	64652	72033
473	64794	71903
474	64954	71791
475	65110	71676
476	65271	71566
477	65444	71468
478	65579	71329
479	65710	71186
480	65831	71032
481	65999	70928
482	66127	70782
483	66251	70632
484	66379	70485
485	66518	70351
486	66663	70222
487	66777	70062
488	66909	69920
489	67027	69762
490	67168	69630
491	67351	69542
492	67511	69428
493	67639	69282
494	67755	69124
495	67913	69009
496	68059	68881
497	68199	68747
498	68321	68595
499	68489	68489
500	68642	68368
501	68777	68229
502	68982	68159
503	69145	68048
504	69315	67942
505	69483	67835
506	69644	67720
507	69762	67565
508	69944	67471
509	70108	67359
510	70232	67209
511	70378	67079
512	70534	66960
513	70655	66806
514	70823	66697
515	70996	66593
516	71145	66466
517	71335	66377
518	71552	66313
519	71779	66257
520	71975	66173
521	72161	66078
522	72343	65980
523	72489	65848
524	72625	65709
525	72819	65620
526	72952	65477
527	73095	65343
528	73221	65193
529	73373	65066
530	73568	64978
531	73783	64907
532	73963	64804
533	74159	64715
534	74375	64644
535	74562	64546
536	74752	64451
537	74904	64322
538	75035	64177
539	75184	64046
540	75399	63970
541	75573	63860
542	75712	63721
543	75846	63577
544	75982	63434
545	76122	63296
546	76275	63167
547	76398	63014
548	76545	62881
549	76671	62731
550	76798	62581
551	76949	62451
552	77109	62329
553	77276	62211
554	77438	62090
555	77592	61962
556	77749	61836
557	77907	61711
558	78062	61584
559	78186	61432
560	78312	61282
561	78461	61149
562	78607	61014
563	78759	60884
564	78902	60747
565	79059	60621
566	79216	60495
567	79373	60368
568	79530	60242
569	79684	60112
570	79829	59976
571	79986	59849
572	80117	59703
573	80243	59553
574	80373	59406
575	80512	59266
576	80661	59133
577	80792	58987
578	80930	58846
579	81076	58710
580	81221	58574
581	81350	58426
582	81484	58283
583	81611	58134
584	81738	57985
585	81897	57859
586	82031	57715
587	82174	57578
588	82301	57429
589	82443	57290
590	82588	57155
591	82718	57008
592	82849	56862
593	82980	56717
594	83108	56569
595	83231	56418
596	83376	56282
597	83517	56144
598	83660	56006
599	83806	55871
600	83953	55736
601	84096	55598
602	84250	55468
603	84377	55320
604	84519	55182
605	84654	55039
606	84791	54898
607	84940	54764
608	85079	54623
609	85217	54483
610	85364	54348
611	85515	54215
612	85669	54084
613	85819	53951
614	85963	53814
615	86091	53667
616	86221	53521
617	86347	53373
618	86459	53216
619	86576	53063
620	86720	52925
621	86834	52771
622	86964	52625
623	87076	52469
624	87206	52324
625	87344	52183
626	87493	52049
627	87626	51906
628	87766	51766
629	87888	51616
630	88039	51484
631	88185	51348
632	88331	51212
633	88476	51076
634	88609	50932
635	88755	50797
636	88872	50644
637	89010	50504
638	89165	50373
639	89295	50228
640	89449	50097
641	89569	49947
642	89723	49815
643	89856	49672
644	90001	49535
645	90134	49392
646	90274	49253
647	90412	49113
648	90553	48974
649	90675	48825
650	90820	48688
651	90948	48543
652	91112	48416
653	91260	48281
654	91402	48143
655	91534	47999
656	91700	47873
657	91841	47735
658	92008	47609
659	92162	47477
660	92295	47334
661	92462	47209
662	92617	47077
663	92767	46942
664	92931	46815
665	93095	46687
666	93221	46540
667	93347	46394
668	93505	46263
669	93635	46118
670	93768	45976
671	93893	45828
672	94054	45699
673	94271	45597
674	94406	45455
675	94539	45311
676	94691	45177
677	94875	45058
678	95007	44915
679	95147	44775
680	95279	44631
681	95413	44488
682	95546	44345
683	95674	44200
684	95808	44057
685	95937	43913
686	96057	43764
687	96192	43622
688	96334	43483
689	96463	43338
690	96584	43190
691	96717	43047
692	96876	42916
693	97016	42776
694	97141	42630
695	97294	42496
696	97428	42354
697	97569	42214
698	97698	42070
699	97830	41927
700	97966	41785
701	98090	41639
702	98214	41493
703	98342	41348
704	98486	41210
705	98623	41069
706	98738	40920
707	98859	40772
708	98988	40628
709	99136	40492
710	99290	40358
711	99434	40220
712	99608	40094
713	99764	39961
714	99902	39821
715	100043	39682
716	100183	39542
717	100312	39398
718	100436	39252
719	100588	39117
720	100729	38978
721	100885	38845
722	101004	38697
723	101144	38557
724	101300	38424
725	101428	38280
726	101576	38143
727	101732	38009
728	101847	37860
729	101965	37713
730	102103	37572
731	102259	37439
732	102461	37322
733	102610	37185
734	102746	37044
735	102908	36912
736	103053	36774
737	103227	36647
738	103382	36512
739	103560	36386
740	103714	36251
741	103858	36112
742	104049	35990
743	104193	35851
744	104378	35726
745	104549	35597
746	104736	35472
747	104917	35346
748	105051	35204
749	105196	35065
750	105324	34921
751	105461	34779
752	105605	34640
753	105774	34510
754	105910	34368
755	106070	34234
756	106208	34093
757	106353	33954
758	106502	33817
759	106649	33678
760	106821	33548
761	107012	33423
762	107157	33284
763	107306	33147
764	107500	33022
765	107633	32880
766	107785	32743
767	107898	32594
768	108031	32451
769	108164	32309
770	108302	32167
771	108432	32024
772	108556	31878
773	108695	31737
774	108847	31600
775	108964	31453
776	109106	31313
777	109255	31175
778	109391	31033
779	109555	30900
780	109696	30760
781	109838	30619
782	109986	30481
783	110176	30354
784	110334	30218
785	110475	30078
786	110652	29947
787	110785	29805
788	110958	29673
789	111109	29535
790	111263	29398
791	111424	29262
792	111589	29128
793	111756	28994
794	111922	28860
795	112074	28722
796	112240	28588
797	112385	28448
798	112512	28304
799	112701	28175
800	112885	28045
801	113044	27908
802	113266	27787
803	113453	27657
804	113684	27538
805	113884	27411
806	114054	27277
807	114297	27159
808	114462	27023
809	114582	26877
810	114712	26733
811	114859	26592
812	115000	26451
813	115151	26312
814	115299	26172
815	115425	26027
816	115560	25884
817	115708	25744
818	115836	25600
819	115968	25456
820	116092	25311
821	116222	25167
822	116348	25022
823	116463	24875
824	116611	24735
825	116744	24592
826	116862	24446
827	117000	24304
828	117138	24162
829	117259	24017
830	117385	23872
831	117528	23731
832	117678	23592
833	117809	23448
834	117941	23305
835	118091	23166
836	118227	23024
837	118355	22880
838	118495	22738
839	118632	22596
840	118764	22453
841	118875	22306
842	119000	22162
843	119126	22018
844	119250	21874
845	119395	21733
846	119532	21592
847	119691	21454
848	119842	21314
849	119962	21169
850	120105	21028
851	120249	20888
852	120422	20752
853	120610	20619
854	120778	20482
855	120934	20344
856	121089	20205
857	121272	20070
858	121425	19931
859	121616	19797
860	121794	19662
861	121953	19523
862	122126	19387
863	122304	19251
864	122450	19110
865	122586	18968
